Diagnosis,Hospitals doing,totaldischarges,summary,Lowest avg,Highest avg,MaxMinRatio,Cash spread,ID of minimum,ID of maximum
193 - Simple Pneumonia & Pleurisy W Mcc,13,416,"Flint River ($11,674); Taylor Regional ($16,277); Dorminy ($16,579); Crisp Regional ($18,831); Dodge County ($18,872); Upson Regional ($20,911); Perry ($23,560); Houston ($26,646); Oconee Regional ($27,305); Central Georgia ($28,654); Coliseum Northside ($36,205); Coliseum ($37,920); Fairview Park ($44,300)","$11,674","$44,300",3.795,"$32,625",110190,110125
194 - Simple Pneumonia & Pleurisy W Cc,13,514,"Taylor Regional ($9,259); Crisp Regional ($13,146); Dodge County ($13,467); Perry ($14,692); Dorminy ($14,882); Flint River ($15,220); Upson Regional ($18,160); Houston ($18,774); Central Georgia ($20,789); Coliseum Northside ($23,184); Oconee Regional ($23,642); Coliseum ($24,632); Fairview Park ($34,040)","$9,259","$34,040",3.676,"$24,781",110135,110125
178 - Respiratory Infections & Inflammations W Cc,9,208,"Dodge County ($17,614); Upson Regional ($17,776); Crisp Regional ($23,832); Coliseum Northside ($25,828); Houston ($28,621); Oconee Regional ($29,386); Central Georgia ($29,592); Coliseum ($33,849); Fairview Park ($61,560)","$17,614","$61,560",3.495,"$43,945",110092,110125
871 - Septicemia Or Severe Sepsis W/O Mv 96+ Hours W Mcc,12,846,"Taylor Regional ($16,561); Dodge County ($18,081); Dorminy ($22,250); Crisp Regional ($23,925); Upson Regional ($25,634); Houston ($36,360); Perry ($37,102); Coliseum Northside ($40,637); Oconee Regional ($41,641); Central Georgia ($44,539); Fairview Park ($54,580); Coliseum ($56,273)","$16,561","$56,273",3.398,"$39,712",110135,110164
191 - Chronic Obstructive Pulmonary Disease W Cc,12,551,"Taylor Regional ($7,738); Dodge County ($9,358); Dorminy ($10,977); Upson Regional ($12,128); Crisp Regional ($13,609); Houston ($14,757); Perry ($15,336); Oconee Regional ($17,808); Central Georgia ($20,829); Coliseum Northside ($21,282); Coliseum ($25,359); Fairview Park ($25,793)","$7,738","$25,793",3.333,"$18,054",110135,110125
291 - Heart Failure & Shock W Mcc,13,619,"Taylor Regional ($12,039); Flint River ($12,046); Dodge County ($16,207); Crisp Regional ($16,510); Perry ($17,641); Upson Regional ($18,630); Coliseum Northside ($21,823); Dorminy ($21,990); Houston ($22,457); Central Georgia ($26,838); Oconee Regional ($37,423); Fairview Park ($37,847); Coliseum ($39,282)","$12,039","$39,282",3.263,"$27,243",110135,110164
292 - Heart Failure & Shock W Cc,12,720,"Dorminy ($7,963); Taylor Regional ($9,584); Crisp Regional ($12,254); Dodge County ($12,671); Upson Regional ($12,900); Perry ($13,776); Houston ($14,782); Oconee Regional ($17,350); Central Georgia ($18,549); Coliseum Northside ($19,483); Fairview Park ($22,286); Coliseum ($24,814)","$7,963","$24,814",3.116,"$16,851",110073,110164
192 - Chronic Obstructive Pulmonary Disease W/O Cc/Mcc,12,437,"Taylor Regional ($7,073); Crisp Regional ($8,900); Dorminy ($9,686); Dodge County ($10,687); Houston ($11,666); Perry ($12,279); Oconee Regional ($12,906); Upson Regional ($13,590); Central Georgia ($14,085); Fairview Park ($19,246); Coliseum ($20,052); Coliseum Northside ($21,113)","$7,073","$21,113",2.985,"$14,041",110135,110201
603 - Cellulitis W/O Mcc,11,309,"Taylor Regional ($8,076); Crisp Regional ($9,581); Dodge County ($10,600); Upson Regional ($11,359); Oconee Regional ($12,246); Houston ($14,011); Central Georgia ($16,188); Perry ($17,600); Coliseum ($20,638); Fairview Park ($21,678); Coliseum Northside ($24,057)","$8,076","$24,057",2.979,"$15,980",110135,110201
190 - Chronic Obstructive Pulmonary Disease W Mcc,11,557,"Crisp Regional ($11,699); Taylor Regional ($12,292); Dodge County ($14,907); Dorminy ($15,290); Perry ($17,433); Oconee Regional ($21,152); Houston ($21,575); Central Georgia ($23,715); Coliseum ($28,821); Fairview Park ($31,258); Coliseum Northside ($33,361)","$11,699","$33,361",2.852,"$21,662",110104,110201
